,DL,IL,EL
4716,1,2,7
298,1,1,4
7865,2,5,6
7915,2,4,3
7704,2,1,5
4954,1,2,1
5495,2,5,7
9888,2,5,7
585,1,2,2
433,1,3,9
3065,1,1,1
6045,2,3,2
2581,1,1,6
2948,1,2,3
9703,2,3,4
4905,1,3,1
3200,1,3,2
2991,1,1,8
7332,2,3,4
9287,2,1,7
2838,1,2,10
8585,2,3,6
7745,2,1,1
2126,1,1,7
4339,1,2,10
6117,2,4,4
5670,2,4,1
5239,2,5,4
1475,1,1,4
4261,1,1,8
7746,2,2,7
5007,1,1,9
5765,2,5,7
4202,1,1,4
2335,1,1,1
4407,1,1,8
2383,1,3,6
22,1,2,7
1248,1,3,7
4488,1,1,6
2830,1,1,5
888,1,3,7
7033,2,3,3
5650,2,1,7
9933,2,5,6
486,1,2,8
7300,2,3,1
6882,2,1,6
4893,1,3,2
9654,2,4,3
9846,2,5,5
5535,2,5,2
2912,1,1,10
367,1,1,9
5689,2,2,6
804,1,2,5
3092,1,3,8
5386,2,2,2
4686,1,1,10
9693,2,2,6
2089,1,1,7
1357,1,1,3
1613,1,1,6
5046,2,1,7
1626,1,2,8
8702,2,5,4
9615,2,2,4
1221,1,3,4
5944,2,3,5
5369,2,2,2
9660,2,4,3
7767,2,3,1
8188,2,2,4
5797,2,5,1
9359,2,3,2
3930,1,2,4
8480,2,4,1
793,1,3,10
2834,1,1,5
7140,2,1,5
7733,2,4,2
4885,1,3,8
8690,2,2,6
2305,1,2,1
2828,1,1,1
5960,2,3,4
9203,2,2,4
4167,1,2,9
4610,1,2,7
681,1,3,5
8288,2,1,1
210,1,1,6
347,1,2,3
5967,2,4,1
1340,1,1,10
5994,2,1,3
1049,1,3,10
9547,2,1,1
5801,2,3,7
6327,2,2,2
608,1,2,8
131,1,2,8
431,1,2,10
2458,1,2,9
2449,1,3,10
5202,2,5,1
7088,2,5,3
6318,2,2,6
4545,1,2,1
4807,1,2,10
2579,1,3,3
5492,2,1,6
6267,2,1,2
5593,2,2,2
6009,2,5,4
6152,2,2,1
2058,1,2,1
5717,2,2,2
7545,2,5,6
627,1,3,6
6557,2,5,5
5073,2,5,2
2180,1,2,9
8214,2,2,5
1364,1,2,9
7244,2,3,6
4458,1,3,3
9393,2,5,4
9905,2,4,6
7777,2,2,3
7881,2,5,1
1369,1,2,4
4473,1,1,4
4886,1,1,2
6225,2,5,6
4338,1,3,10
6195,2,2,1
7231,2,2,3
3840,1,1,3
758,1,1,6
9754,2,3,2
3878,1,3,2
3809,1,2,3
5900,2,3,4
6190,2,3,7
7003,2,5,3
3792,1,1,8
5235,2,3,2
4560,1,2,3
5546,2,3,3
6367,2,2,4
9421,2,2,2
8439,2,5,6
4099,1,3,4
8802,2,5,6
2379,1,3,3
6188,2,3,1
9266,2,2,3
6374,2,2,4
3344,1,2,5
7568,2,4,6
6387,2,3,1
270,1,1,2
6865,2,4,6
7618,2,5,3
6688,2,3,2
3450,1,3,1
9094,2,5,7
3267,1,2,5
8236,2,3,2
3681,1,1,5
3870,1,3,4
9581,2,3,3
9326,2,4,6
593,1,3,6
3349,1,3,4
849,1,1,6
3263,1,1,1
9004,2,2,3
5515,2,5,4
6934,2,5,7
2195,1,2,9
4645,1,2,7
8350,2,1,1
2070,1,2,1
2895,1,2,6
8943,2,4,5
9730,2,2,5
2533,1,3,4
7148,2,5,2
2542,1,2,7
2156,1,2,9
4637,1,1,3
9002,2,4,4
8443,2,4,4
3951,1,1,10
3282,1,1,1
4629,1,1,1
4566,1,3,7
8283,2,4,2
3153,1,1,10
727,1,1,2
5481,2,4,3
2580,1,3,4
4322,1,1,3
640,1,1,10
2264,1,1,9
372,1,2,2
9824,2,1,6
8064,2,3,6
2871,1,3,2
462,1,2,6
5676,2,5,1
4833,1,3,2
5641,2,4,4
8807,2,4,1
4290,1,2,2
4697,1,1,8
4481,1,1,10
9733,2,4,7
3645,1,2,2
824,1,3,3
9212,2,1,5
8632,2,1,6
1071,1,3,10
719,1,1,8
1180,1,2,9
4625,1,1,10
8979,2,2,7
1356,1,3,4
9712,2,3,7
3794,1,1,6
7459,2,2,1
9600,2,1,1
164,1,3,7
3926,1,3,1
1819,1,3,9
7824,2,5,7
1963,1,2,8
8157,2,5,3
6454,2,2,6
688,1,1,8
2837,1,2,6
8429,2,1,1
3604,1,1,5
8719,2,3,2
4277,1,2,6
8290,2,4,7
7310,2,5,5
8825,2,2,7
7918,2,1,4
9974,2,1,1
1121,1,3,10
8561,2,4,1
381,1,1,9
2194,1,3,6
2926,1,1,5
6507,2,1,5
5167,2,4,1
7861,2,1,7
7494,2,1,7
9589,2,2,6
4913,1,2,1
7699,2,1,1
3680,1,1,10
8873,2,3,3
858,1,2,2
7171,2,5,2
2672,1,1,3
7606,2,4,4
4682,1,3,10
1998,1,2,5
710,1,2,5
1137,1,1,9
7619,2,2,3
2500,1,1,5
2814,1,3,5
9455,2,3,5
9159,2,3,4
9482,2,2,2
9007,2,3,3
2869,1,2,7
1795,1,1,1
2637,1,1,6
8628,2,1,3
8858,2,2,6
1910,1,2,7
9059,2,4,4
3778,1,3,1
6899,2,4,5
697,1,3,7
4056,1,3,9
5389,2,4,1
1191,1,1,10
416,1,2,8
2421,1,1,1
2768,1,3,8
9978,2,1,1
8195,2,3,3
763,1,1,7
5686,2,1,6
6805,2,2,6
8496,2,4,4
2670,1,2,8
5411,2,1,5
4438,1,3,5
7570,2,2,1
749,1,2,9
3886,1,1,10
2651,1,1,6
1751,1,3,4
8426,2,3,6
9884,2,5,1
9890,2,4,7
8475,2,4,6
1183,1,1,2
7446,2,1,2
9768,2,2,5
8508,2,1,1
1989,1,3,3
680,1,2,7
1521,1,1,8
8203,2,3,2
5982,2,1,5
2573,1,3,10
8959,2,2,3
4430,1,3,4
1922,1,2,8
4718,1,3,3
673,1,1,4
5114,2,5,1
2484,1,1,2
5520,2,3,7
6731,2,3,1
5047,2,3,6
9774,2,5,7
3829,1,1,8
4887,1,3,9
9744,2,1,4
2065,1,1,8
8315,2,1,7
7395,2,3,5
2907,1,1,2
6523,2,2,2
1929,1,2,3
6824,2,2,4
7048,2,5,2
2213,1,1,9
3433,1,3,3
4106,1,2,8
8620,2,3,7
2743,1,2,9
6455,2,2,4
1664,1,1,4
4147,1,3,10
1128,1,2,9
2121,1,2,4
6035,2,4,7
6418,2,2,5
8384,2,3,4
5284,2,4,5
7666,2,5,1
6351,2,1,5
6401,2,4,7
9715,2,3,5
7884,2,1,6
2611,1,2,3
613,1,3,2
3745,1,2,9
6646,2,1,2
9071,2,3,3
5305,2,5,6
513,1,1,1
4071,1,1,3
5266,2,5,3
8410,2,2,5
832,1,1,4
7643,2,3,7
9381,2,3,2
8392,2,1,7
6665,2,5,6
7418,2,2,2
3235,1,3,10
5186,2,1,5
8660,2,5,6
1036,1,1,7
5718,2,2,7
191,1,1,6
9463,2,1,3
8034,2,2,3
2995,1,3,1
2881,1,2,4
7217,2,1,2
9801,2,4,2
9630,2,2,5
1065,1,1,5
5240,2,1,6
7502,2,3,7
699,1,1,3
2941,1,2,4
3788,1,1,6
1068,1,1,7
5476,2,5,1
3978,1,1,4
1023,1,1,2
9650,2,1,5
3085,1,3,2
4700,1,1,1
1884,1,1,8
5714,2,3,5
3261,1,2,3
2087,1,1,8
2068,1,1,10
5930,2,3,2
153,1,1,10
7354,2,2,7
7914,2,4,6
3536,1,3,2
3428,1,2,7
3612,1,2,5
3183,1,2,5
3637,1,2,7
419,1,1,4
9981,2,1,3
6438,2,1,2
6758,2,5,3
349,1,1,8
1028,1,1,5
337,1,2,9
6412,2,5,7
7083,2,1,5
3437,1,1,10
8817,2,2,5
1145,1,2,10
7816,2,2,2
2356,1,1,4
8944,2,4,1
2210,1,2,2
5920,2,5,5
1274,1,3,8
9542,2,1,1
4665,1,2,9
6390,2,3,1
2592,1,1,6
8743,2,1,7
978,1,1,10
1276,1,1,10
641,1,1,10
7864,2,2,7
2556,1,2,5
8803,2,4,5
3356,1,2,5
668,1,3,4
1215,1,1,9
6612,2,3,3
1376,1,3,5
4659,1,1,8
7763,2,5,2
3374,1,1,2
4219,1,2,9
1279,1,3,10
1142,1,1,7
5540,2,1,2
7730,2,3,3
3416,1,2,5
9927,2,4,2
2340,1,3,10
5547,2,4,7
1749,1,2,1
5467,2,2,4
3821,1,1,5
7521,2,5,4
5227,2,2,7
3308,1,3,4
4221,1,1,4
572,1,3,10
1223,1,2,8
5833,2,4,5
9799,2,1,4
3465,1,2,5
5823,2,4,3
7249,2,1,7
8715,2,4,4
2242,1,3,1
3935,1,2,1
990,1,1,3
29,1,3,10
4605,1,2,3
1296,1,1,5
9025,2,4,6
1680,1,2,3
4200,1,2,5
4736,1,3,9
6214,2,5,6
7526,2,2,3
9052,2,3,3
7800,2,4,6
7710,2,2,5
1720,1,3,10
3211,1,2,10
8075,2,3,4
5969,2,2,2
1422,1,2,1
9858,2,1,7
833,1,1,2
1852,1,1,4
4851,1,2,6
4098,1,1,1
1012,1,1,4
9161,2,2,2
1548,1,1,4
8027,2,3,5
5221,2,1,1
7484,2,2,4
5508,2,1,1
9851,2,5,3
9084,2,5,7
450,1,3,5
3156,1,2,8
1839,1,2,7
1881,1,2,6
7728,2,1,4
3142,1,1,5
8841,2,5,7
558,1,1,4
251,1,1,3
2534,1,3,5
8002,2,2,2
6110,2,5,6
3913,1,3,10
3736,1,2,6
5814,2,4,1
966,1,3,2
1875,1,2,6
3543,1,1,2
2175,1,2,7
2880,1,3,1
5231,2,4,2
7893,2,5,5
9636,2,1,1
8809,2,1,7
1763,1,3,2
2545,1,2,5
265,1,2,8
4863,1,2,6
1164,1,1,6
3329,1,3,3
4688,1,2,6
7682,2,1,5
7046,2,1,4
6607,2,4,6
3485,1,3,5
2716,1,1,2
8664,2,2,7
7990,2,1,3
2946,1,3,10
3038,1,1,10
292,1,3,5
356,1,1,9
9860,2,4,3
2504,1,3,5
421,1,2,1
7979,2,3,6
9704,2,2,4
7273,2,3,6
5555,2,1,2
3891,1,3,6
9651,2,2,5
3415,1,3,6
1838,1,3,4
6057,2,5,4
6237,2,4,2
2804,1,2,10
3382,1,1,9
9908,2,5,4
6863,2,1,5
4434,1,2,5
2758,1,3,8
3189,1,3,9
5940,2,3,1
1825,1,1,1
6432,2,4,7
9517,2,1,4
41,1,3,10
3238,1,1,7
2359,1,2,5
789,1,2,9
4149,1,3,3
6601,2,1,1
2005,1,1,9
9304,2,1,6
574,1,3,6
8000,2,3,5
4527,1,3,9
3948,1,2,1
4225,1,1,5
6895,2,3,1
5452,2,2,6
126,1,3,6
188,1,3,7
3176,1,1,7
5290,2,3,7
1653,1,2,2
1315,1,2,3
4241,1,2,5
5843,2,4,1
5528,2,5,3
3099,1,1,5
3319,1,1,6
7298,2,5,2
7025,2,4,2
1811,1,2,1
4536,1,1,3
8857,2,2,1
4212,1,3,5
1786,1,2,5
2752,1,3,6
4530,1,3,10
4119,1,1,4
1255,1,2,5
3624,1,2,9
999,1,2,4
9689,2,1,3
1073,1,3,8
3067,1,2,4
5743,2,2,6
9758,2,5,1
6042,2,5,7
1707,1,1,3
7674,2,2,2
6647,2,2,1
5223,2,5,3
1079,1,3,10
3887,1,2,2
8570,2,4,5
5497,2,1,2
4005,1,3,1
2273,1,3,7
5442,2,1,5
7154,2,3,1
2960,1,1,9
7480,2,5,1
6182,2,4,2
1840,1,2,8
8840,2,2,4
8344,2,2,7
5503,2,5,1
8549,2,3,5
2494,1,2,10
9198,2,3,6
3947,1,1,6
2119,1,1,3
6722,2,3,6
5625,2,5,5
3330,1,1,5
9211,2,1,5
5436,2,3,5
2558,1,2,8
187,1,3,3
4127,1,1,9
6679,2,4,2
8107,2,1,6
7255,2,1,7
6479,2,4,7
3236,1,2,7
9821,2,4,5
2925,1,3,9
1831,1,3,9
5353,2,4,4
4291,1,3,1
5161,2,1,6
4465,1,3,5
2294,1,1,9
9014,2,1,5
7344,2,1,1
8221,2,1,3
6114,2,3,2
1188,1,2,1
9322,2,1,7
7652,2,3,5
1339,1,1,3
7493,2,4,3
8562,2,4,6
3133,1,3,5
2072,1,2,6
1710,1,1,3
3246,1,1,10
8711,2,1,4
117,1,3,4
2245,1,1,6
9519,2,3,3
6837,2,3,4
7840,2,2,2
5796,2,1,6
3453,1,2,4
8104,2,4,2
6299,2,2,2
333,1,3,10
69,1,3,6
8656,2,3,2
3394,1,3,7
1623,1,3,8
8738,2,2,7
6194,2,2,6
6788,2,2,5
1834,1,2,9
237,1,3,4
6354,2,2,1
2255,1,1,4
9325,2,5,6
7868,2,4,3
266,1,1,2
48,1,3,7
409,1,1,7
882,1,3,2
4029,1,3,1
7665,2,5,6
4096,1,2,10
3789,1,1,7
5155,2,4,5
6527,2,2,1
8872,2,1,3
7266,2,1,1
9111,2,2,5
2337,1,3,4
9698,2,2,1
4110,1,1,8
112,1,2,3
8190,2,4,7
2780,1,1,1
5680,2,3,4
9551,2,2,2
1985,1,2,2
4457,1,2,10
8419,2,1,2
1009,1,2,3
5543,2,5,3
8046,2,3,5
1426,1,1,5
7057,2,4,6
6828,2,5,6
6463,2,5,3
8686,2,3,4
4130,1,1,6
8853,2,1,5
4431,1,3,2
3379,1,3,10
7721,2,4,3
5946,2,2,3
1669,1,2,7
6276,2,2,7
6044,2,1,5
434,1,3,3
3631,1,1,9
2302,1,3,10
5210,2,3,2
5763,2,3,3
4,1,3,1
3531,1,3,4
4565,1,3,4
8237,2,5,2
9931,2,3,1
2489,1,3,7
2307,1,2,2
3445,1,3,1
3653,1,3,10
4964,1,2,7
2866,1,1,10
6574,2,2,7
3242,1,1,3
7764,2,5,7
18,1,1,2
5418,2,4,4
4267,1,3,9
6003,2,3,7
7776,2,5,2
6879,2,5,6
4810,1,3,2
8881,2,4,4
7419,2,4,3
1644,1,1,9
659,1,3,9
9429,2,4,7
8779,2,1,1
2847,1,3,6
4203,1,1,3
2840,1,3,10
4867,1,2,4
9069,2,3,4
5279,2,2,6
1333,1,1,10
6462,2,1,5
1095,1,3,9
2870,1,2,6
5370,2,1,5
3048,1,2,10
4651,1,2,5
1386,1,3,3
8355,2,3,3
9108,2,4,2
7014,2,4,4
9495,2,4,5
219,1,1,5
7956,2,1,2
5237,2,1,1
8747,2,5,4
9725,2,3,4
4915,1,1,2
1008,1,1,8
9292,2,2,5
3182,1,3,8
3618,1,3,5
3713,1,2,5
3521,1,1,8
9073,2,2,6
1699,1,3,10
5035,2,1,7
6797,2,3,4
2366,1,2,3
3231,1,3,1
4152,1,3,4
6420,2,4,3
4423,1,2,4
6853,2,4,5
9290,2,2,1
657,1,2,6
3688,1,2,1
9225,2,5,3
9265,2,3,5
8545,2,5,5
8963,2,2,3
252,1,2,1
6514,2,5,6
1770,1,3,1
6363,2,2,1
3086,1,2,2
5139,2,1,4
1295,1,2,9
4231,1,2,10
5268,2,3,5
7250,2,5,6
8691,2,1,5
7925,2,4,5
7392,2,5,1
2455,1,3,6
2843,1,3,7
5865,2,3,2
6302,2,5,2
3825,1,1,5
2562,1,3,9
4342,1,3,2
8470,2,3,1
2298,1,3,9
3049,1,3,3
3124,1,1,9
6051,2,2,2
1167,1,2,3
6614,2,2,7
2412,1,3,3
243,1,2,3
2717,1,1,4
3625,1,2,4
4958,1,3,2
6857,2,5,2
280,1,2,9
4482,1,1,3
3828,1,3,2
5886,2,5,6
3613,1,1,9
3253,1,1,5
869,1,2,4
6856,2,2,5
9852,2,2,3
9437,2,4,5
774,1,1,1
3346,1,1,2
8654,2,3,4
3014,1,3,7
3672,1,3,6
4028,1,3,2
6554,2,5,7
5588,2,4,5
7422,2,2,1
470,1,2,5
951,1,1,6
2788,1,1,7
1677,1,3,3
8231,2,2,3
9124,2,2,7
4379,1,3,9
6326,2,2,4
2361,1,3,2
1777,1,3,8
8618,2,3,4
8916,2,5,6
6118,2,5,3
3671,1,2,1
8583,2,3,5
3136,1,3,2
6747,2,1,6
5201,2,2,6
9214,2,2,3
2586,1,2,8
982,1,1,9
9314,2,4,3
5698,2,1,6
289,1,3,2
8094,2,2,4
4085,1,2,2
2274,1,3,8
7260,2,4,6
7658,2,1,4
1043,1,2,10
6321,2,4,6
4451,1,2,9
6973,2,2,5
2665,1,1,5
1726,1,2,7
6146,2,4,2
7254,2,2,4
8530,2,1,1
5173,2,5,3
4685,1,3,1
9526,2,4,6
9050,2,2,6
7060,2,2,1
5673,2,1,2
2369,1,3,3
4795,1,1,8
272,1,2,6
4190,1,3,6
6397,2,4,3
315,1,3,9
6203,2,3,4
963,1,3,9
8961,2,2,1
1168,1,3,8
8218,2,4,2
4874,1,1,1
1800,1,3,5
4602,1,2,2
8947,2,4,2
3080,1,3,4
4184,1,2,7
1045,1,3,4
1666,1,2,3
3216,1,3,3
530,1,1,7
1822,1,3,8
8060,2,4,1
3300,1,1,8
1395,1,3,2
3414,1,1,5
1346,1,2,7
6080,2,3,5
9661,2,5,2
4763,1,3,6
9913,2,2,5
2732,1,1,10
5500,2,3,6
5426,2,2,1
1550,1,3,6
3195,1,1,10
46,1,3,2
5400,2,1,6
6832,2,2,6
6552,2,5,7
26,1,2,10
7725,2,2,6
2332,1,1,7
6538,2,1,7
5212,2,2,3
878,1,3,6
2032,1,2,9
5604,2,3,5
4412,1,3,8
4775,1,1,7
822,1,3,8
524,1,2,3
7345,2,2,7
2025,1,3,7
1571,1,3,9
1284,1,1,5
8281,2,4,1
2999,1,2,7
4938,1,2,5
3470,1,3,2
3725,1,2,7
9535,2,1,7
3448,1,3,2
9104,2,2,4
2438,1,1,5
4373,1,3,7
7673,2,4,2
6201,2,1,3
5016,1,3,8
9217,2,2,1
9070,2,4,7
5364,2,5,1
8774,2,1,5
7609,2,3,1
8987,2,4,2
3500,1,2,8
8765,2,5,5
1495,1,1,8
614,1,2,1
7950,2,1,1
9200,2,1,3
4480,1,2,8
7581,2,1,7
6435,2,4,5
5141,2,1,3
497,1,3,3
3606,1,1,10
1895,1,3,7
6028,2,4,3
9658,2,2,5
8305,2,3,7
6277,2,2,7
324,1,1,3
494,1,1,4
7567,2,2,4
5099,2,5,2
7162,2,4,3
5257,2,3,3
3966,1,3,8
8225,2,1,7
6216,2,1,5
8076,2,5,5
9142,2,3,2
8709,2,2,3
8843,2,2,2
5414,2,3,6
7489,2,3,2
1086,1,1,9
5324,2,2,5
8297,2,5,3
946,1,3,10
2097,1,2,9
8407,2,1,1
5575,2,5,1
8320,2,1,3
9585,2,4,2
9607,2,3,2
8953,2,1,3
8760,2,4,4
1612,1,3,5
5474,2,4,1
1211,1,3,5
7716,2,2,1
1222,1,2,3
7111,2,2,5
2033,1,2,4
2744,1,3,10
5291,2,5,5
6618,2,2,4
4007,1,3,1
9113,2,5,2
3893,1,1,2
3608,1,1,6
7655,2,2,4
8992,2,3,1
6025,2,2,7
8970,2,3,2
563,1,3,8
9279,2,1,7
5888,2,4,7
9969,2,3,5
515,1,1,9
1512,1,3,8
3869,1,2,3
3556,1,1,2
4739,1,2,3
7927,2,1,3
8542,2,3,2
3683,1,1,9
1885,1,3,6
9329,2,3,6
8160,2,4,2
9277,2,3,6
902,1,3,9
6977,2,2,5
7096,2,3,3
3122,1,1,8
3810,1,1,2
4337,1,2,5
5754,2,2,7
1354,1,3,1
7897,2,1,2
3959,1,3,9
3220,1,1,4
5387,2,3,5
5667,2,5,3
490,1,3,2
2614,1,1,7
9397,2,1,6
1347,1,3,5
1994,1,1,5
2486,1,1,8
8830,2,1,6
6588,2,2,2
9820,2,2,7
3148,1,2,5
4815,1,2,9
9952,2,4,2
4280,1,2,4
9803,2,4,7
5287,2,2,6
1722,1,3,8
8359,2,2,1
4487,1,1,6
7647,2,5,4
4052,1,3,5
